Institution,Course Number,Launch Date,Course Title,Instructors,Course Subject,Enrolled,Review,Total Course Duration (Days),Is Paid,Difficulty Level
HarvardX,SW12.7x,2014,"Invasions, Rebellions, and the end of Imperial China","Peter Bol, Bill Kirby","Humanities, History, Design, Religion, and Education",4662,1505,23,No,Moderate
HarvardX,1368.1x,2014,"Saving Schools: History, Politics, and Policy of U.S. Education – History and Politics in U.S. Education",Paul Peterson,"Humanities, History, Design, Religion, and Education",3853,391,9,No,Moderate
HarvardX,AMPOx.1,2014,Poetry in America: The Poetry of Early New England,Elisa New,"Humanities, History, Design, Religion, and Education",2820,153,8,No,Low
HarvardX,HUM2.2x,2014,The Ancient Greek Hero in 24 Hours (Hours 6-11): Signs of the Hero in Epic and Iconography,Gregory Nagy,"Humanities, History, Design, Religion, and Education",2310,510,7,No,Moderate
HarvardX,GSE1.1x,2014,Unlocking the Immunity to Change: A New Approach to Personal Improvement,"Robert Kegan (Bob), Lisa Lahey","Humanities, History, Design, Religion, and Education",13305,699,52,No,Moderate
HarvardX,PH555x,2014,Improving Global Health: Focusing on Quality and Safety,Ashish K. Jha,"Government, Health, and Social Science",9010,1494,41,No,Moderate
MITx,8.EFTx,2014,Effective Field Theory,Iain Stewart,"Science, Technology, Engineering, and Mathematics",7093,12,17,No,High
MITx,4.605x,2014,A Global History of Architecture,Mark Jarzombek,"Humanities, History, Design, Religion, and Education",7052,543,54,No,Moderate
HarvardX,AT1x,2014,AnatomyX: Musculoskeletal Cases,Trudy Van Houten,"Science, Technology, Engineering, and Mathematics",26086,1583,88,No,Moderate
MITx,ESD.SCM1x,2014,Supply Chain and Logistics Fundamentals,Chris Caplice,"Government, Health, and Social Science",25600,2184,255,No,Moderate
MITx,24.00x,2014,"Introduction to Philosophy: God, Knowledge and Consciousness",Caspar Hare,"Humanities, History, Design, Religion, and Education",20109,488,65,No,Moderate
MITx,JPAL 101x,2014,Evaluating Social Programs,Rachel Glennerster,"Government, Health, and Social Science",5321,565,27,No,Moderate
MITx,6.832x,2014,Underactuated Robotics,Russ Tedrake,"Science, Technology, Engineering, and Mathematics",11074,136,42,No,High
HarvardX,HUM2.3x,2014,The Ancient Greek Hero in 24 Hours (Hours 12-15): Cult of Heroes,Gregory Nagy,"Humanities, History, Design, Religion, and Education",1559,417,3,No,Moderate
MITx,11.132x,2014,Design and Development of Educational Technology,Eric Klopfer,"Humanities, History, Design, Religion, and Education",15942,1630,45,No,Moderate
HarvardX,SW12.8x,2014,Creating China: The Birth of a Nation,"Peter Bol, Bill Kirby","Humanities, History, Design, Religion, and Education",4515,1528,24,No,Moderate
MITx,6.00.2x,2014,Introduction to Computational Thinking and Data Science,Eric Grimson,Computer Science,11690,1259,81,No,Moderate
HarvardX,HUM2.4x,2014,The Ancient Greek Hero in 24 Hours (Hours 16-21): The Hero in Tragedy,Gregory Nagy,"Humanities, History, Design, Religion, and Education",1615,376,4,No,Moderate
HarvardX,AMPOx.2,2014,"Poetry in America: Nature and Nation, American Poetry, 1700-1850",Elisa New,"Humanities, History, Design, Religion, and Education",1911,149,7,No,Moderate
MITx,11.126x,2014,Introduction to Game Design,Eric Klopfer,"Humanities, History, Design, Religion, and Education",25569,1480,50,No,Moderate
HarvardX,1368.2x,2014,"Saving Schools: History, Politics, and Policy in U.S. Education – Teacher Policies",Paul Peterson,"Humanities, History, Design, Religion, and Education",1275,304,3,No,Moderate
HarvardX,SW47.1x,2014,Entrepreneurship and Healthcare in Emerging Economies,Tarun Khanna,"Government, Health, and Social Science",10332,598,17,No,Moderate
HarvardX,HUM2.5x,2014,The Ancient Greek Hero: Plato and Beyond,Gregory Nagy,"Humanities, History, Design, Religion, and Education",2201,367,2,No,Moderate
MITx,9.01x,2014,"Light, Spike, and Sight: The Neuroscience of Vision",Sebastian Seung,"Science, Technology, Engineering, and Mathematics",7000,505,18,No,High
HarvardX,SW12.9x,2014,Communist Liberations,"Peter Bol, Bill Kirby","Humanities, History, Design, Religion, and Education",4248,1442,23,No,Moderate
HarvardX,CS50x,2015,Introduction to Computer Science,David Malan,Computer Science,301082,1523,276,No,Low
HarvardX,SW12.10x,2015,"Greater China Today: The People's Republic, Taiwan, and Hong Kong","Peter Bol, Bill Kirby","Humanities, History, Design, Religion, and Education",5864,1258,48,No,Moderate
HarvardX,1368.3x,2015,"Saving Schools: History, Politics, and Policy of U.S. Education – Accountability and National Standards",Paul Peterson,"Humanities, History, Design, Religion, and Education",1483,400,3,No,Moderate
HarvardX,AMPOx.3,2015,Poetry in America: Walt Whitman,Elisa New,"Humanities, History, Design, Religion, and Education",3879,220,9,No,Low
MITx,6.00.1x,2015,Introduction to Computer Science and Programming Using Python,"Eric Grimson, John Guttag",Computer Science,49529,4738,486,No,Low
MITx,15.S23x,2015,"Transforming Business, Society, and Self",Otto Scharmer,"Government, Health, and Social Science",21420,2416,82,No,Moderate
HarvardX,HLS2x,2015,ContractsX: From Trust to Promise to Contract,Charles Fried,"Government, Health, and Social Science",15433,2245,68,No,Moderate
MITx,8.MECHCx,2015,Advanced Introductory Classical Mechanics,David E. Pritchard,"Science, Technology, Engineering, and Mathematics",6980,201,76,No,High
MITx,15.390.1x,2015,Entrepreneurship 101: Who Is Your Customer?,Bill Aulet,"Government, Health, and Social Science",30780,2689,110,No,Moderate
MITx,15.390.2x,2015,Entrepreneurship 102: What Can You Do For Your Customer?,Bill Aulet,"Government, Health, and Social Science",13173,574,33,No,Moderate
MITx,7.QBWx,2015,Quantitative Biology Workshop,Collaborative,"Science, Technology, Engineering, and Mathematics",4143,257,26,No,Moderate
MITx,3.086x,2015,Innovation and Commercialization,Eugene Fitzgerald,"Government, Health, and Social Science",12208,241,37,No,Moderate
HarvardX,PH525.1x,2015,Data Analysis for Genomics: Statistics and R for the Life Sciences,Rafael Irizarry,"Government, Health, and Social Science",28425,2685,107,No,High
MITx,6.002x,2015,Circuits and Electronics,Anant Agarwal,"Science, Technology, Engineering, and Mathematics",22828,202,99,No,Moderate
MITx,21W.789x,2015,Building Mobile Experiences,"Frank Bentley, Ed Barrett",Computer Science,18454,45,25,No,Moderate
MITx,14.73x,2015,The Challenges of Global Poverty,"Duflo, Banerjee","Government, Health, and Social Science",7664,594,67,No,Low
MITx,6.041x,2015,Introduction to Probability: The Science of Uncertainty,"John Tsitsiklis, Patrick Jailet, Dimitri Bertsekas","Science, Technology, Engineering, and Mathematics",22537,410,217,No,Moderate
MITx,6.341x,2015,Discrete-Time Signal Processing,"Oppenheim, Baran","Science, Technology, Engineering, and Mathematics",7396,144,49,No,High
HarvardX,1368.4x,2015,"Saving Schools: History, Politics, and Policy in U.S. Education",Paul Peterson,"Humanities, History, Design, Religion, and Education",1465,380,3,No,Moderate
HarvardX,SPU30x,2015,Super-Earths and Life,Dimitar Sasselov,"Science, Technology, Engineering, and Mathematics",7008,961,21,No,High
MITx,3.072x,2015,"Symmetry, Structure and Tensor Properties of Materials",Eugene Fitzgerald,"Science, Technology, Engineering, and Mathematics",5448,31,12,No,High
MITx,8.05x,2015,Mastering Quantum Mechanics,Barton Zwiebach,"Science, Technology, Engineering, and Mathematics",10932,393,187,No,High
HarvardX,EMC2x,2015,The Einstein Revolution,Peter Galison,"Humanities, History, Design, Religion, and Education",11705,195,41,No,High
HarvardX,HKS211.2x,2015,"Central Challenges in American National Security, Strategy and the Press","Graham Allison, David Sanger","Government, Health, and Social Science",6454,813,20,No,High
HarvardX,PH525.2x,2015,Introduction to Linear Models and Matrix Algebra,Rafael Irizarry,"Government, Health, and Social Science",12007,1404,28,No,Moderate
MITx,3.091x,2015,Introduction to Solid State Chemistry,Michael Cima,"Science, Technology, Engineering, and Mathematics",3661,65,29,No,Low
HarvardX,PH525.3x,2015,Advanced Statistics for the Life Sciences,Rafael Irizarry,"Government, Health, and Social Science",9266,638,38,No,High
