course_id,Title,Overall_Rating,Topic,Instructor,Video_Duration_Hr,Is Paid,Price
102,Data Analysis & Visualization: Python | Excel | BI | Tableau,4.4,Data Analysis,Bluelime Learning Solutions,9.5,YES,59.98
103,Revit Architecture| Interior Modeling and Rendering,4.5,Revit,Talha Hyder,3,YES,34.98
104,Reading Music: Intervals,5,Reading Music,Jonathan Peters,1.5,YES,29.98
105,GASP...Smarter - How to use Google Apps on your Smartphone,0,Google Office,John-Roy Cloete,0.616666666666666,YES,29.98
106,Monetize your Instagram as an Instagram Influencer in 2021,4.5,Instagram Marketing,AntÃ³nio AraÃºjo,2.5,YES,108.98
107,Premiere Pro Crash Course (2 Hours),0,Adobe Premiere,Alexis J. Estevez,2,YES,40.98
108,Introduction to Positive Psychology,5,Positive Thinking,Jatin Adlakha,1,YES,44.98
109,Pitch Perfect: Growth Hacker's Guide to PR & Media Coverage,3.8,Unknown,Steve Young,2,YES,29.98
110,Revenue Recognition - IFRS 15 & ASC 606,4.3,IFRS,Raffaelson Academy,4,YES,34.98
111,The Ultimate Public Relations Masterclass,4.4,Unknown,Heather Baker,3,YES,40.98
112,Elite Singing Techniques - Phase I,4.7,Singing,Eric Arceneaux,3.5,YES,108.98
113,MySQl complete guide,4,MySQL,Rajan Singh,4.5,YES,59.98
114,1 Corinthians: 16 Life Changing Lessons,5,The Bible,Boomy Tokan,1.5,YES,29.98
115,Connect XL & Outlook -Access VBA & Collection Loops Series 7,5,Excel,ajay parmar,7,YES,29.98
116,EXCEL at Work - Complete MS Excel Mastery Beginner to Pro,4.6,Excel,Steve McDonald,7,YES,108.98
117,How to get the BEST car deal,4.9,Car Buying,Jose Rodriguez,0.583333333333333,YES,34.98
118,Certification in Kagi (TA) Charts & Smiling Buddha Strategy,5,Financial Trading,Saad T. Hameed (STH),1,YES,29.98
119,How to Train a Puppy,4.7,Pet Training,Ian Dunbar,15,YES,128.98
120,QuickBooks (Beginners & Advanced): Fast Track Training,5,QuickBooks,Douglas Melvin,1.5,YES,78.98
121,Machine Learning & Data Science Bootcamp with  R  & Python,5,Machine Learning,Academy of Computing & Artificial Intelligence,5,YES,29.98
122,Basics of Virtual Reality and Create a Phone App using Unity,0,Virtual Reality,Dr. Aditya Gupte,8,YES,34.98
123,"Professional Podcast Production, Editing & Blueprint",4.2,Podcasting,Ian Robinson,4,YES,44.98
124,Houdini 18 - Procedural Prop Modeling - Chinese Knife,4.9,Houdini Software,Indie - Pixel,4.5,YES,29.98
125,Kick basics in muay thai martial art of Thailand,0,Muay Thai,Chanuphon Yodsamai,1,YES,128.98
126,"Marketing Strategy - Principles, Strategy, Practice",4.4,Marketing Strategy,Mark Meyerson,4.5,YES,128.98
